Name;Coord;Winner;Fitness;TownLifeSum;Score;GameTime
EA22;<437, 5, 200>;True;394;31;370;7525
EA23;<437, 5, 200>;False;-4;19;20;8250
EA24;<437, 5, 200>;False;-10;85;0;8250
EA25;<437, 5, 200>;False;-8;32;35;8250
EA26;<437, 5, 200>;False;-10;86;0;8250
EA27;<437, 5, 200>;False;-10;86;0;8250
EA28;<437, 5, 200>;False;-4;3;30;8250
EA29;<437, 5, 200>;False;-10;87;0;8250
EA30;<437, 5, 200>;False;-6;34;20;8250
EA31;<437, 5, 200>;True;398;55;350;7525
EA32;<437, 5, 200>;False;-5;24;20;8250
EA33;<437, 5, 200>;False;-10;86;0;8250
EA34;<437, 5, 200>;False;-10;87;0;8250
EA35;<437, 5, 200>;False;-10;84;0;8250
EA36;<437, 5, 200>;False;-10;86;0;8250
EA37;<437, 5, 200>;False;-4;15;20;8250
EA38;<437, 5, 200>;False;-10;86;0;8250
EA39;<437, 5, 200>;False;-10;86;0;8250
EA40;<437, 5, 200>;False;-10;85;0;8250
EA41;<437, 5, 200>;False;-10;85;0;8250
EA42;<437, 5, 200>;False;-5;23;20;8250
EA43;<437, 5, 200>;False;-4;18;20;8250
EA44;<437, 5, 200>;False;-10;85;0;8250
EA45;<437, 5, 200>;False;-10;86;0;8250
EA46;<437, 5, 200>;False;-5;25;20;8250
EA47;<437, 5, 200>;False;-10;85;0;8250
EA48;<437, 5, 200>;False;-10;86;0;8250
EA49;<437, 5, 200>;False;-10;86;0;8250
EA50;<437, 5, 200>;True;427;59;375;7525
EA51;<437, 5, 200>;False;-10;85;0;8250
EA52;<437, 5, 200>;False;-6;31;20;8250
EA53;<437, 5, 200>;False;-10;86;0;8250
EA54;<437, 5, 200>;False;-10;63;20;8250
EA55;<437, 5, 200>;False;-10;85;0;8250
EA56;<437, 5, 200>;False;-8;51;20;8250
EA57;<437, 5, 200>;False;-10;86;0;8250
EA58;<437, 5, 200>;False;-10;85;0;8250
EA59;<437, 5, 200>;False;-10;85;0;8250
EA60;<437, 5, 200>;False;-4;20;15;8250
EA61;<437, 5, 200>;False;-10;87;0;8250
EA62;<437, 5, 200>;False;-10;86;0;8250
EA63;<437, 5, 200>;False;-9;28;50;8250
EA64;<437, 5, 200>;False;-10;85;0;8250
EA65;<437, 5, 200>;False;-5;20;20;8250
EA66;<437, 5, 200>;False;-7;5;55;8250
EA67;<437, 5, 200>;False;-10;85;0;8250
EA68;<437, 5, 200>;False;-10;85;0;8250
EA69;<437, 5, 200>;False;-10;87;0;8250
EA70;<437, 5, 200>;False;-10;86;0;8250
EA71;<437, 5, 200>;False;-6;36;15;8250
EA72;<437, 5, 200>;False;-10;86;0;8250
EA73;<437, 5, 200>;False;-4;17;20;8250
EA74;<437, 5, 200>;False;-3;13;15;8250
EA75;<437, 5, 200>;False;-10;85;0;8250
EA76;<437, 5, 200>;False;-5;25;20;8250
EA77;<437, 5, 200>;False;-10;85;0;8250
EA78;<437, 5, 200>;False;-10;86;0;8250
EA79;<437, 5, 200>;False;-5;23;20;8250
EA80;<437, 5, 200>;False;-10;85;0;8250
EA81;<437, 5, 200>;False;-10;86;0;8250
EA82;<437, 5, 200>;False;-10;87;0;8250
EA83;<437, 5, 200>;False;-10;86;0;8250
EA84;<437, 5, 200>;False;-9;18;55;8250
EA85;<437, 5, 200>;False;-6;37;15;8250
EA86;<437, 5, 200>;False;-10;85;0;8250
EA87;<437, 5, 200>;False;-10;85;0;8250
EA88;<437, 5, 200>;False;-5;24;20;8250
EA89;<437, 5, 200>;False;-4;17;20;8250
EA90;<437, 5, 200>;False;-10;86;0;8250
EA91;<437, 5, 200>;False;-4;17;20;8250
EA92;<437, 5, 200>;False;-10;86;0;8250
EA93;<437, 5, 200>;False;-10;86;0;8250
EA94;<437, 5, 200>;False;-10;86;0;8250
EA95;<437, 5, 200>;False;-10;86;0;8250
EA96;<437, 5, 200>;False;-3;14;15;8250
